TestnetTotal,MainnetP0,Address
200000000,8778820.038006,CH6UXSEYWZW2YPXM6EIHY2M4TGEALCYDF7WSKWOO5PJ4PN6CYYTTEZ3IVY
157618377.944456,6918516.873284,G3MSA75OZEJTCCENOJDLDJK7UD7E2K5DNC7FVHCNOV7E3I4DTXTOWDUIFQ
151421500.975422,6646510.53474,QZMECVQU4K3TFBKUDOKCG6EQNRCIW75NHGYHSC2XFI6AFWF47SYNO3MDN4
151379746.601858,6644677.764083,R7TBR3Y5QCM6Y2OPQP3BPNUQG7TLN75IOC2WTNRUKO4VPNSDQF52MZB4ZE
150000000,6584115.028504,KBISMS2R2JHEN7JHKGVTA3G57SBKZVMNNISKK6N4H6WADAAOZNEH5NWYD4
126190702.65,5539027.345169,HI4GEV4ZU32TGWUPKC5FKNCK6DZOLX2RRX4BVB3QG6WUHQ2UAS4GM3CN5U
94355434.400565,4141646.891052,UD5LOVE643WWV7CFQVMAYW6L5J6OW2ST3TTYYIKGDSRC3AEMFKV2RC667U
77421706.421101,3398356.138531,INTERNSYWPVN6HR3PCQQPGNUTXF4J3PMQWXROFMTXC65ORSODSHDOQZWPE
63941908.676656,2806672.545795,URFANYZIZPZFOCPUE6PIRY3ZK7IHP5MRXZBTJ3I3YG526CQRVWEPITEQPM
53750009.9085,2359308.320139,PAYRAWLB7KHKBUBAFIPPUB47Z3BS7QRVYWYUJMLKRJT7QCYKYLXMW653MM
51132593.816495,2244419.195957,DIT3MNSV4QU7SMB7XBLTYWKOZTI3F5LT45FDSN63VTVBU7KGZDFLOZPRPI
50756786.112808,2227923.454959,EM6YOBT4UOMEGWZO74OLOSA55V6EH6DUQSCAJA6FNMQ5IS5U3GZXBUR2OI
40000003.7465,1755764.17205,VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM
37109903.423335,1628905.818906,LLG4LGFISZLJ3QXLCZFY63DOIWKYSDJDEJKTQBFAASOGXXFEQQBIS7W6NM
36689129.658556,1610436.333118,O7FC4I7PX57TSJBN5XOR7WJJNHD6XBMY5IDG32RBAFRLNXN5RISQR6X7AM
36522477.758654,1603121.297926,XQBFLQHVKRCPVGDBVPMW5GKVSTH4B32UCGTAWYPXEBGNPLIFXO5RFSYVOI
36448986.830868,1599895.479779,NGQDBWCPJIG7GEH5VOLMB4SHZMSVJAA5VXYAJV35QCRT5LSRYAIGVTAWRI
